epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4941,1.54312,3.45096,1.2841,0.467,0.58368,0.50668,0.33569,1.13068,2.78587,1.05254,0.000190556,0.000190556,0.000190556
2,57.0217,1.14954,1.54953,1.05627,0.88485,0.82274,0.87245,0.60438,1.1017,0.87489,1.05388,0.000380177,0.000380177,0.000380177
3,70.3869,1.08938,1.08388,1.03621,0.85859,0.78409,0.84972,0.59051,1.10213,0.8884,1.06916,0.000563331,0.000563331,0.000563331
4,83.2766,1.06086,0.9256,1.03487,0.94256,0.86453,0.89583,0.64505,1.0265,0.64226,1.01639,0.000558894,0.000558894,0.000558894
5,95.9182,1.05321,0.83022,1.02731,0.95047,0.85376,0.89422,0.63763,1.02715,0.61262,1.03312,0.000549192,0.000549192,0.000549192
6,108.762,1.01015,0.7471,1.01725,0.91002,0.95999,0.93407,0.66177,1.00326,0.54292,1.00177,0.00053949,0.00053949,0.00053949
7,122.032,1.01345,0.73865,1.02243,0.96444,0.8963,0.94205,0.68473,0.96165,0.5041,0.99675,0.000529788,0.000529788,0.000529788
8,135.375,1.00056,0.67024,1.0152,0.96976,0.89646,0.92581,0.66661,0.96742,0.48257,1.01094,0.000520086,0.000520086,0.000520086
9,148.543,0.98012,0.67182,1.01054,0.93291,0.97689,0.98252,0.70546,0.95854,0.49411,0.98661,0.000510384,0.000510384,0.000510384
10,161.944,0.96873,0.64368,1.00036,0.85432,0.98844,0.97986,0.72346,0.94248,0.47621,0.98483,0.000500682,0.000500682,0.000500682
11,175.298,0.97803,0.64514,1.01363,0.91746,0.9847,0.98721,0.72106,0.93978,0.4639,0.98902,0.00049098,0.00049098,0.00049098
12,188.617,0.94517,0.60309,0.98832,0.96351,0.9663,0.9802,0.70118,0.96126,0.46972,0.99095,0.000481278,0.000481278,0.000481278
13,201.347,0.9413,0.6003,0.99355,0.96187,0.9738,0.98685,0.72823,0.94298,0.44458,0.98496,0.000471576,0.000471576,0.000471576
14,213.895,0.95016,0.60165,1.00156,0.95751,0.97973,0.98015,0.73459,0.9285,0.43002,0.97776,0.000461874,0.000461874,0.000461874
15,226.772,0.94778,0.5937,0.994,0.96468,0.97049,0.98115,0.72908,0.93617,0.42871,0.98511,0.000452172,0.000452172,0.000452172
16,239.887,0.93151,0.54947,0.9853,0.97161,0.96703,0.98102,0.72514,0.92898,0.43112,0.98615,0.00044247,0.00044247,0.00044247
17,253.079,0.91504,0.57441,0.99046,0.96555,0.96563,0.98479,0.75627,0.90553,0.42888,0.9706,0.000432768,0.000432768,0.000432768
